sentence,sentiment,Date
Sai kha ya her kisi kay bus ki bat nhi hai lakin main ki hal kal bi Aj aur aj bi sirf Aus say bus,0,2025-01-31
sahi bt h,0,2024-01-23
"Kya bt hai,",0,2024-06-07
Wah je wah,0,2024-07-12
Are wha kaya bat hai,0,2024-04-03
Wah kya baat likhi,0,2024-01-25
Wha Itni sari khubiya,0,2024-01-27
Itni khubiya,0,2024-05-13
Ya allah rehm farma hm sab pe or zalimo ko hidayat de ameen,0,2024-07-06
Please Everyone AllAh S.w.T ka naam hAmesha Bary Lawzo main Likha kary Wo he Zaat sUb say Bari Hey,0,2025-02-18
Ya mere rab tu bra kreem hy is mulk k halat PR reham frma. Is watn.e.Aziz ki hifazat frma.amin,0,2024-09-03
jaago Pakistani coom jaago ye humary nokar han humarey tex se inko tankha milti h or ye hum pakitani awam ko hi martey han jaago Pakistan key logo,0,2024-11-06
kia kia jae .kon sacha ha ALLAH JANY .PAK KESE BDL SAKTA HA I THINK 7 NSL TO ASE E GUZR JAIN GI BD ME koi hua to pta ni,0,2024-03-01
afsos hota hai garip insan kha jay Allah ki lati me awaz hai jo zulum kry ga Allah ki lati pary gi,0,2025-03-10
Allah insaaf karey,0,2024-10-07
ALLAH MUSALMAN PHIR DOR E JAHALAT ME JARAHA H HIYADAY FARMA AESE LOGO KO JO AWAM KI ZINDGIYO KO AZAB BANA RAHY HAI INKO TO GARAK KARDY,0,2024-04-02
Je Thik Kaha Right,0,2024-11-28
jee ye to he,0,2024-06-03
Maa cheez e ASE ha jis ka koi namil Badl Ni,0,2024-10-25
Wah wah yeh toh hy,0,2024-12-31
jee ye to he,0,2024-01-05
Zenda bad yar,0,2024-04-15
Es leay Muskurany ki koshish kia karo Es se wo loug ju apk Rouny pr muskuraty hain wo Loug phir apki hansi pe jalyn gy.,0,2024-03-18
Wha bhut qoob,0,2024-05-03
"right
Or sada time same nahi rehtaaaaaa",0,2024-06-09
Wha wha kaya bat hai,0,2024-02-22
Bohat khoob so true Alhamdulillah,0,2024-02-13
dil me khud aaka ho nala jm hai akbaal sjdo me pde rahna rahne se jnnat nahi milee yhi likha hai bahi,0,2024-02-23
Sjdo me bhi wo hi pda he jis k dil me khuda ka Dr he .,0,2024-10-21
Beshaq haq baat hai,0,2025-01-15
Right ha but bar bar ak hi insan q berdash karea yr ye sub batamize kerne wala bhi to samjhea,0,2024-03-16
Right mara jasa masom log,0,2025-03-20
MashaAllah.,0,2024-10-06
Mubarak,0,2024-01-20
Ma hun Hero tara <3,0,2024-07-10
Feel kar speed bot ki <3,0,2024-05-19
"Isy Kahty han hop hip hop <3

:* Powered By :* Abraham Tamim :*",0,2024-11-13
Great Aadmi Aadmi,0,2024-01-28
In England Attaullah Esakhelvi married with a Pakistani ethnography British lady,0,2024-08-09
He has one son with her,0,2025-03-11
"He got second marriage with Bazgha, she is famous manuscript actress and they have only daughter named Laraib and only son named Sanwal",0,2024-10-27
He received honorable award from the Government of Pakistan and Life time achievement award from the queen of England,0,2024-08-22
He entered in Guinness book of World record for the singer of most recorded albums,0,2025-03-23
"Attaullah Esakhelvi ka shumar un gine chune artists mein kiya jata hai, jin ki maqboliyat, mutarrif hone se le kar shohrat ke urooj tak pohanchne tak radio, TV ya film ke marhoon e minnat nahi hai",0,2024-05-19
Agarcha aise artists mein Munni Begum aur Aziz Miyan qawaal ka naam bhi shamil hai,0,2025-02-24
Lekin top of the list Attaullah Esakhelvi ka naam he samjha jata hai,0,2024-07-31
"Jin ki ibtedai zindagi aur urooj ki daastan qabil e rashk bhi hai, dilchasp bhi aur kar hawalon se qabil e taqleed bhi",0,2024-04-20
In mein mauseeqi ka shauq paida hua to inho ne gungunana shuru kar diya,0,2024-02-13
Jab school teachers ne in ki awaaz suni to Mukesh aur Rafi ke songs ki farmaiysh karne lage aur hausla afzaai karne ke sath sath yeh dars bhi dete rehte ke singing na chorna,0,2024-02-28
Wohi un ki infaradiyat bana,0,2024-05-04
"Yahin qismat ki devi un par meharban hui aur “ Rehmat Gramophone House ” naami aik company ne un ke songs ki recording ki… “ Udhar Zindagi Ka Janaza Uthega ” aur Saraiki geet “ Naki Jae Gal Tu Rus Naa Ae Dhola ” ( Choti si baat par naraz ho jate ho maahi ), jab market mein aae to jaise hulchul mach gai",0,2025-01-03
Har taraf ataullah Niazi ki singing ka charcha hone laga,0,2024-12-12
Lekin us daur ke mustand singers ne unhe be surr iqraar de kar mustarid kar diya,0,2024-05-11
Radio aur TV jo maand parhte sitaron ki kafalat he nahi bal ke ubharte hue artists ke hausla afzaai ki riwayaat bhi rakhte hain,0,2024-02-10
"Lekin dosri taraf village, dehaat, qasbon, buses, wagons aur chae khano mein Attaullah Esakhelvi ki awaaz ka tota bol raha tha",0,2024-11-24
Taweel musafat ke liye buses ka ticket lene wale pehle yeh istafsaar bhi karte ke Attaullah Esakhelvi ki cassette lagaoge ?Mianwali ke logon ne inhe bataya ke tumhare naam se Esakhel mein hotel khul gae hain,0,2025-03-16
"Jagah jagah tumhari taswirein lagi hain aur Mianwali mein sirf tumhari cassette he farokht hoti hai, to Attaullah Esakhelvi ne phir Esakhel jane ka qasd kiya",0,2024-10-23
Phir yeh hua ke radio Pakistan ke farmaishi naghmon ke programs mein 90 % log Attaullah Esakhelvi ke songs ki farmaiysh karte,0,2024-01-31
Radio hukkam par bhi is hawale se dabao dala jata ke wo apni nashriyat mein Attaullah Esakhelvi ko madaoo karen aur aakhirkar majboor ho kar Attaullah Esakhelvi se radio Pakistan aane ki darkhuwast karni parhi,0,2025-03-18
